Iterations, Proposals, Gravimetry, TMI
0, 0, 2.298569, 1.502323
5000, 5000, 0.635199, 0.767316
10000, 10000, 0.461063, 0.697214
15000, 15000, 0.343869, 0.637516
20000, 20000, 0.243636, 0.525827
25000, 25000, 0.199245, 0.478069
30000, 30000, 0.184708, 0.430087
35000, 35000, 0.176218, 0.403229
40000, 40000, 0.166708, 0.375275
45000, 45000, 0.160112, 0.352487
50000, 50000, 0.155306, 0.328230
55000, 55000, 0.149414, 0.316398
60000, 60000, 0.148692, 0.304439
65000, 65000, 0.145039, 0.297532
70000, 70000, 0.139673, 0.287108
75000, 75000, 0.135937, 0.274437
80000, 80000, 0.133884, 0.263798
85000, 85000, 0.132429, 0.254241
90000, 90000, 0.129970, 0.250158
95000, 95000, 0.128545, 0.247841
100000, 100000, 0.127293, 0.244581
105000, 105000, 0.124763, 0.239968
110000, 110000, 0.122231, 0.233137
115000, 115000, 0.120903, 0.230904
120000, 120000, 0.119560, 0.227932
125000, 125000, 0.117851, 0.225564
130000, 130000, 0.116358, 0.225051
135000, 135000, 0.115091, 0.224148
140000, 140000, 0.113391, 0.222974
145000, 145000, 0.112435, 0.221781
150000, 150000, 0.111900, 0.219992
155000, 155000, 0.111462, 0.216925
160000, 160000, 0.110752, 0.214274
165000, 165000, 0.110703, 0.213810
170000, 170000, 0.109721, 0.213752
175000, 175000, 0.108646, 0.213786
180000, 180000, 0.108512, 0.213062
185000, 185000, 0.108168, 0.212313
190000, 190000, 0.107494, 0.209869
195000, 195000, 0.106535, 0.209687
200000, 200000, 0.106532, 0.208858
205000, 205000, 0.106222, 0.208124
210000, 210000, 0.104161, 0.207596
215000, 215000, 0.104425, 0.207059
220000, 220000, 0.104913, 0.206577
225000, 225000, 0.104515, 0.206414
230000, 230000, 0.104433, 0.205949
235000, 235000, 0.103286, 0.205870
240000, 240000, 0.103739, 0.206049
245000, 245000, 0.104543, 0.206264
250000, 250000, 0.104123, 0.206697
255000, 255000, 0.102848, 0.205839
260000, 260000, 0.102417, 0.205055
265000, 265000, 0.102133, 0.204937
270000, 270000, 0.101572, 0.204505
275000, 275000, 0.101848, 0.203972
280000, 280000, 0.101602, 0.203867
285000, 285000, 0.100436, 0.204101
290000, 290000, 0.100328, 0.203489
295000, 295000, 0.100350, 0.202799
300000, 300000, 0.099884, 0.202613
305000, 305000, 0.098894, 0.202786
310000, 310000, 0.098107, 0.202817
315000, 315000, 0.098617, 0.202779
320000, 320000, 0.097871, 0.202082
325000, 325000, 0.097678, 0.201749
330000, 330000, 0.097027, 0.201617
335000, 335000, 0.096272, 0.202084
340000, 340000, 0.096800, 0.201572
345000, 345000, 0.096880, 0.201567
350000, 350000, 0.096500, 0.201525
355000, 355000, 0.095533, 0.200712
360000, 360000, 0.094350, 0.200397
365000, 365000, 0.094156, 0.200131
370000, 370000, 0.094098, 0.200457
375000, 375000, 0.093516, 0.200054
380000, 380000, 0.095045, 0.200045
385000, 385000, 0.094699, 0.199846
390000, 390000, 0.093974, 0.199533
395000, 395000, 0.094561, 0.199685
400000, 400000, 0.093905, 0.199511
405000, 405000, 0.093082, 0.199860
410000, 410000, 0.093987, 0.198825
415000, 415000, 0.094288, 0.198944
420000, 420000, 0.094152, 0.199476
425000, 425000, 0.093883, 0.199061
430000, 430000, 0.094116, 0.199002
435000, 435000, 0.094288, 0.199108
440000, 440000, 0.094137, 0.199092
445000, 445000, 0.094042, 0.199335
450000, 450000, 0.092524, 0.199517
455000, 455000, 0.093006, 0.198910
460000, 460000, 0.092028, 0.199008
465000, 465000, 0.091546, 0.198902
470000, 470000, 0.091686, 0.198371
475000, 475000, 0.091433, 0.198849
480000, 480000, 0.092242, 0.198589
485000, 485000, 0.091224, 0.198763
490000, 490000, 0.092086, 0.198664
495000, 495000, 0.092146, 0.198687
500000, 500000, 0.092923, 0.198475
